Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Adams, Charles S; Anderson, Brian P; Brand, Joachim; Carr, Lincoln D; Carretero-González, Ricardo; Frantzeskakis, Dimitri J; Garnier, Josselin; Hall, David S; Jackson, Brian; Kevrekidis, Panayotis G; ","Fatkhulla Kh. Abdullaev Uzbek Academy of Sciences, 700084, Uzbekistan. fatkh AT uzsci• net",,,,,,
"Bettles, Robert J; Gardiner, Simon A; Adams, Charles S; ",Cooperative eigenmodes and scattering in 1D atomic arrays,arXiv preprint arXiv:1607.05016,,,,2016,
"Potvliege, RM; Adams, CS; ",Photo-ionization in far-off-resonance optical lattices,New Journal of Physics,8,8,163,2006,IOP Publishing
"Carr, Christopher; Sargsyan, Armen; Weatherill, Kevin J; Adams, Charles S; Tanasittikosol, Monsit; Sarkisyan, David; ",Doppler-compensated three-photon electromagnetically induced transparency,,,,,2012,
"Bridge, EM; Millen, J; Adams, CS; Jones, MPA; ",A vapor cell based on dispensers for laser spectroscopy,Review of Scientific Instruments,80,1,013101,2009,American Institute of Physics
"West, Adam D; Weatherill, Kevin J; Hayward, Thomas J; Fry, Paul W; Schrefl, Thomas; Gibbs, Mike RJ; Adams, Charles S; Allwood, Dan A; Hughes, Ifan G; ",Realization of the manipulation of ultracold atoms with a reconfigurable nanomagnetic system of domain walls,Nano letters,12,8,4065-4069,2012,ACS Publications
"Whiting, Daniel J; Keaveney, James; Adams, Charles S; Hughes, Ifan G; ",Direct measurement of excited-state dipole matrix elements using electromagnetically induced transparency in the hyperfine Paschen-Back regime,Physical Review A,93,4,043854,2016,APS
"Rogers, Joshua P; Gallagher, Liam AP; Pizzey, Danielle; Pritchett, Jon D; Adams, Charles S; Jones, Matthew PA; Hodges, Chris; Langbein, Wolfgang; Lynch, Stephen A; ",High-resolution nanosecond spectroscopy of even-parity Rydberg excitons in Cu 2 O,Physical Review B,105,11,115206,2022,APS
"Sakellari, E; Proukakis, NP; Adams, CS; ",Tunnelling induced collapse of an atomic Bose–Einstein condensate in a double-well potential,"Journal of Physics B: Atomic, Molecular and Optical Physics",37,18,3681,2004,IOP Publishing
"Parker, NG; Proukakis, NP; Barenghi, CF; Adams, CS; ",Controlled vortex-sound interactions in atomic Bose-Einstein condensates,Physical review letters,92,16,160403,2004,APS
"Bettles, Robert J; Gardiner, Simon A; Adams, Charles S; ",Cooperative Ordering in Lattices of Interacting Dipoles,,,,,,
"Martin, AD; Adams, CS; Gardiner, SA; ",Bright matter-wave soliton collisions in a harmonic trap: Regular and chaotic dynamics,Physical review letters,98,2,020402,2007,APS
"Jundt, G; Purves, GT; Adams, CS; Hughes, IG; ",Staff profile,,,,,,
"Weatherill, KJ; Pritchard, JD; Abel, RP; Bason, MG; Mohapatra, AK; Adams, CS; ",Electromagnetically induced transparency of a cold Rydberg ensemble.,EuroPhysics news.,39,6,17-17,2008,European Physical Society
"Browaeys, Antoine; Lahaye, Thierry; Porto, Trey; Adams, Charles S; Weidemüller, Matthias; Cugliandolo, Leticia F; ",Current Trends in Atomic Physics,,107,,,2019,Oxford University Press
"Pearman, CP; Adams, CS; Cox, SG; Griffin, PF; Smith, DA; Hughes, IG; ",Polarization spectroscopy of a closed atomic transition: applications to laser frequency locking,"Journal of Physics B: Atomic, Molecular and Optical Physics",35,24,5141,2002,IOP Publishing
"Adams, CS; ",A mechanical shutter for light using piezoelectric actuators,Review of Scientific Instruments,71,1,59-60,2000,American Institute of Physics
"Sargsyan, A; Tonoyan, A; Keaveney, J; Hughes, IG; Adams, CS; Sarkisyan, D; ",Selective reflection of potassium vapor nanolayers in a magnetic field,Journal of Experimental and Theoretical Physics,126,3,293-301,2018,Springer
"Allwood, DA; Schrefl, T; Hrkac, G; Hughes, IG; Adams, CS; ",Mobile atom traps using magnetic nanowires,Applied physics letters,89,1,014102,2006,American Institute of Physics
"Zentile, Mark A; Andrews, Rebecca; Weller, Lee; Knappe, Svenja; Adams, Charles S; Hughes, Ifan G; ",The hyperfine paschen–back faraday effect,"Journal of Physics B: Atomic, Molecular and Optical Physics",47,7,075005,2014,IOP Publishing
"Sargsyan, Armen; Papoyan, Aram; Hughes, Ifan G; Adams, Charles S; Sarkisyan, David; ",Selective reflection from an Rb layer with a thickness below λ/12 and applications,Optics Letters,42,8,1476-1479,2017,Optical Society of America
"Parker, NG; Cornish, SL; Martin, AM; Judd, TE; Scott, RG; Fromhold, TM; Adams, CS; ",Quantum reflection of bright matter-wave solitons,Physica D: Nonlinear Phenomena,,,,2009,Newcastle University
"Sevinçli, S; Ates, C; Pohl, T; Schempp, H; Hofmann, CS; Günter, G; Amthor, T; Weidemüller, M; Pritchard, JD; Maxwell, D; ",Quantum interference in interacting three-level Rydberg gases: coherent population trapping and electromagnetically induced transparency,"Journal of Physics B: Atomic, Molecular and Optical Physics",44,18,184018,2011,IOP Publishing
"Keaveney, James; Wrathmall, Steven A; Adams, Charles S; Hughes, Ifan G; ",Optimized ultra-narrow atomic bandpass filters via magneto-optic rotation in an unconstrained geometry,Optics letters,43,17,4272-4275,2018,Optica Publishing Group
"Adams, CS; Riis, E; Ferguson, AI; Rowley, WRC; ",Precision measurement of the 2 3 S→ 3 3 P transition in He 4,Physical Review A,45,5,R2667,1992,APS
"Marchant, Anna L; Händel, Sylvi; Wiles, Timothy P; Hopkins, Stephen A; Adams, Charles S; Cornish, Simon L; ",Off-resonance laser frequency stabilization using the Faraday effect,Optics letters,36,1,64-66,2011,Optica Publishing Group
"Bettelli, S; Maxwell, D; Fernholz, T; Adams, CS; Lesanovsky, I; Ates, C; ",Exciton dynamics in emergent Rydberg lattices,Physical Review A,88,4,043436,2013,APS
"Chen, Shuying; Reed, Dominic J; MacKellar, Andrew R; Downes, Lucy A; Almuhawish, Nourah FA; Jamieson, Matthew J; Adams, Charles S; Weatherill, Kevin J; ",Terahertz electrometry via infrared spectroscopy of atomic vapor,Optica,9,5,485-491,2022,Optica Publishing Group
"Adams, CS; Ferguson, AI; ",Tunable narrow linewidth ultra-violet light generation by frequency doubling of a ring Ti: sapphire laser using lithium tri-borate in an external enhancement cavity,Optics communications,90,1-3,89-94,1992,Elsevier
"Jackson, B; McCann, JF; Adams, CS; ",Flow of a weakly-interacting Bose condensate,"Technical Digest. Summaries of Papers Presented at the International Quantum Electronics Conference. Conference Edition. 1998 Technical Digest Series, Vol. 7 (IEEE Cat. No. 98CH36236)",,,48-49,1998,IEEE
"Adams, CS; Riis, E; Ferguson, AI; Rowley, W RC; ",Precision measurement of the 2 sup 3 S r arrow 3 sup 3 P transition in sup 4 He,Physical Review A. General Physics;(United States),45,5,,1992,
"Parker, NG; Martin, AM; Adams, CS; Cornish, SL; ",Bright solitary waves of trapped atomic Bose–Einstein condensates,Physica D: Nonlinear Phenomena,238,15,1456-1461,2009,Elsevier
"Pfau, Tilman; Kurtsiefer, Ch; Adams, Charles S; Sigel, Martin; Mlynek, Jürgen; ",Magneto-optical beam splitter for atoms,Physical review letters,71,21,3427,1993,APS
"Wade, Christopher G; Šibalić, Nikola; de Melo, Natalia R; Kondo, Jorge M; Adams, Charles S; Weatherill, Kevin J; ",Real-time near-field terahertz imaging with atomic optical fluorescence,Nature Photonics,11,1,40-43,2017,Nature Publishing Group
"Parker, NG; Adams, CS; ",Response of an atomic Bose–Einstein condensate to a rotating elliptical trap,"Journal of Physics B: Atomic, Molecular and Optical Physics",39,1,43,2005,IOP Publishing
"Cornish, SL; Parker, NG; Martin, AM; Judd, TE; Scott, RG; Fromhold, TM; Adams, CS; ",Quantum reflection of bright matter-wave solitons,Physica D: Nonlinear Phenomena,238,15,1299-1305,2009,Elsevier
"Bason, Mark George; Tanasittikosol, M; Sargsyan, A; Mohapatra, AK; Sarkisyan, D; Potvliege, RM; Adams, CS; ",Enhanced electric field sensitivity of rf-dressed Rydberg dark states,New Journal of Physics,12,6,065015,2010,IOP Publishing
"Babin, SA; Belousov Yu, I; Kablukov, SI; Shapiro, DA; Hinze, U; Klug, M; Badger, SD; Hughes, IG; Adams, CS; ",Azuma Y: see Achler M 965,J. Phys. B: At. Mol. Opt. Phys,34,,5145-5172,2001,
"Demirag, I; Jones, M; Kirkham, L; Dillard, J; Mathews, R; Bebbington, J; Parker, LD; Adams, C; Arrington, E; Baker, R; ",now been,,,,,,
"Händel, S; Wiles, TP; Marchant, AL; Hopkins, SA; Adams, CS; Cornish, SL; ",Magnetic merging of ultracold atomic gases of Rb 85 and Rb 87,Physical Review A,83,5,053633,2011,APS
"Adams, Charles; ",Non-linear optics using Rydberg atoms,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",43,,C7. 001,2012,
"Browaeys, Antoine; Yin, Yi; Chen, Yu; Sank, Daniel; O’Malley, PJJ; White, TC; Barends, R; Kelly, J; Lucero, Erik; Mariantoni, Matteo; ",الموضوع: Catch and Release of Photon,Phys. Rev. Lett,110,,107001,2013,
"Adams, Charles S; Sigel, Martin; Mlynek, Jürgen; ",Atom optics,Physics Reports,240,3,143-210,1994,Elsevier
"Barenghi, CF; Parker, NG; Proukakis, NP; Adams, CS; ",Decay of quantised vorticity by sound emission,arXiv preprint cond-mat/0405635,,,,2004,
"Hayward, TJ; West, AD; Weatherill, KJ; Curran, Peter J; Fry, PW; Fundi, PM; Gibbs, MRJ; Schrefl, T; Adams, CS; Hughes, IG; ",Design and characterization of a field-switchable nanomagnetic atom mirror,Journal of Applied Physics,108,4,043906,2010,American Institute of Physics
"Siddons, Paul; Adams, Charles S; Hughes, Ifan G; ",Off-resonance absorption and dispersion in vapours of hot alkali-metal atoms,"Journal of Physics B: Atomic, Molecular and Optical Physics",42,17,175004,2009,IOP Publishing
"Möhl, Charles; Spong, Nicholas LR; Jiao, Yuechun; So, Chloe; Ilieva, Teodora; Weidemüller, Matthias; Adams, Charles S; ",Photon correlation transients in a weakly blockaded Rydberg ensemble,"Journal of Physics B: Atomic, Molecular and Optical Physics",53,8,084005,2020,IOP Publishing
"So, Chloe; Spong, Nicholas LR; Möhl, Charles; Jiao, Yuechun; Ilieva, Teodora; Adams, Charles S; ",Zeeman-tunable modulation transfer spectroscopy,Optics Letters,44,21,5374-5377,2019,Optical Society of America
"Adams, CS; Hughes, IG; ",D6. 1 Laser cooling and trapping,Handbook of Laser Technology and Applications (Three-Volume Set),,,2419-2437,2003,CRC Press
"Pohl, T; Adams, CS; Sadephpour, HR; ",Cold Rydberg gases and ultra-cold plasmas,"Journal of Physics B: Atomic, Molecular and Optical Physics",44,18,180201,2011,IOP Publishing
"Sargsyan, Armen; Klinger, Emmanuel; Leroy, Claude; Hughes, Ifan G; Sarkisyan, David; Adams, Charles S; ",Selective reflection from a potassium atomic layer with a thickness as small as λ/13,"Journal of Physics B: Atomic, Molecular and Optical Physics",52,19,195001,2019,IOP Publishing
"Whiting, DJ; Mathew, RS; Keaveney, J; Adams, CS; Hughes, IG; ",Four-wave mixing in the hyperfine Paschen-Back regime,arXiv preprint arXiv:1705.01855,,,,2017,
"Weller, L; Bettles, RJ; Vaillant, CL; Zentile, MA; Potvliege, RM; Adams, CS; Hughes, IG; ",Cooperative enhancement of energy transfer in a high-density thermal vapor,arXiv preprint arXiv:1308.0129,,,,2013,
"Adams, Charles S; Cassidy, Daniel T; ","Effects of stress on threshold, wavelength, and polarization of the output of InGaAsP semiconductor diode lasers",Journal of applied physics,64,12,6631-6638,1988,American Institute of Physics
"Adams, CS; Cox, SG; Riis, E; Arnold, AS; ",Laser cooling of calcium in a ‘golden ratio’quasi-electrostatic lattice,"Journal of Physics B: Atomic, Molecular and Optical Physics",36,10,1933,2003,IOP Publishing
"Tanasittikosol, M; Carr, C; Adams, CS; Weatherill, KJ; ",Subnatural linewidths in two-photon excited-state spectroscopy,Physical Review A,85,3,033830,2012,APS
"Adams, Charles S; Hughes, Ifan G; ",Optics f2f: from Fourier to Fresnel,,,,,2018,Oxford University Press
"Zentile, Mark A; Keaveney, James; Weller, Lee; Whiting, Daniel J; Adams, Charles S; Hughes, Ifan G; ",ElecSus: A program to calculate the electric susceptibility of an atomic ensemble,Computer Physics Communications,189,,162-174,2015,Elsevier
"Gallagher, Liam AP; Rogers, Joshua P; Pritchett, Jon D; Mistry, Rajan A; Pizzey, Danielle; Adams, Charles S; Jones, Matthew PA; Grünwald, Peter; Walther, Valentin; Hodges, Chris; ",Microwave-optical coupling via Rydberg excitons in cuprous oxide,Physical Review Research,4,1,013031,2022,APS
"Adams, CS; Vorberg, J; Mlynek, Jurgen; ",Single-frequency operation of a diode-pumped lanthanum–neodymium–hexaaluminate laser by using a twisted-mode cavity,Optics letters,18,6,420-422,1993,Optica Publishing Group
"Adams, CS; Pohl, T; Sadeghpour, HR; ",CALL FOR PAPERS: Special issue on strong Rydberg interactions in ultracold atomic and molecular gases Special issue on strong Rydberg interactions in ultracold atomic and molecular gases,Journal of Physics B Atomic Molecular Physics,43,18,180101,2010,
"Din, DS; Adams, CS; Shi, BS; Guo, GC; ",Non-equilibrium phase-transitions in multi-component Rydberg gases,arXiv preprint arXiv:1606.08791,,,93,2016,
"Peyrot, Tom; Sortais, Yvan RP; Browaeys, A; Sargsyan, Armen; Sarkisyan, David; Keaveney, J; Hughes, IG; Adams, Charles S; ",Collective Lamb shift of a nanoscale atomic vapor layer within a sapphire cavity,Physical Review Letters,120,24,243401,2018,APS
"Whiting, Daniel J; Keaveney, James; Adams, Charles S; Hughes, Ifan G; ","Erratum: Direct measurement of excited-state dipole matrix elements using electromagnetically induced transparency in the hyperfine Paschen-Back regime [Phys. Rev. A 93, 043854 (2016)]",Physical Review A,97,4,049902,2018,APS
"Chen, Shuying; Reed, Dominic; Downes, Lucy A; MacKellar, Andrew R; Almuhawish, Nourah F; Jamieson, Matthew J; Adams, Charles S; Weatherill, Kevin J; ",THz electrometry with Rydberg atoms and all IR lasers,"2021 46th International Conference on Infrared, Millimeter and Terahertz Waves (IRMMW-THz)",,,1-2,,IEEE
"Ding, Dong-Sheng; Busche, Hannes; Shi, Bao-Sen; Guo, Guang-Can; Adams, Charles S; ",Phase diagram and self-organizing dynamics in a thermal ensemble of strongly interacting Rydberg atoms,Physical Review X,10,2,021023,2020,APS
"Mohapatra, Ashok K; Bason, Mark G; Butscher, Björn; Weatherill, Kevin J; Adams, Charles S; ",A giant electro-optic effect using polarizable dark states,Nature physics,4,11,890-894,2008,Nature Publishing Group
"Adams, CS; Vorberg, J; Mlynek, J; ",Twisted-mode single-frequency LNA laser for excitation of the 23S-to-23P transition in helium,Quantum Electronics and Laser Science Conference,,,QThH49,1993,Optica Publishing Group
"Keaveney, J; Zentile, MA; Whiting, DJ; Bimbard, E; Adams, CS; Hughes, IG; ",Faraday filtering in atomic vapours: from Hamiltonian to application,,,,,,
"Winiecki, T; Adams, CS; ",Motion of an object through a quantum fluid,EPL (Europhysics Letters),52,3,257,2000,IOP Publishing
"Proukakis, NP; Parker, NG; Barenghi, CF; Adams, CS; ","General Physics: Statistical and Quantum Mechanics, Quantum Information, etc.-Parametric Driving of Dark Solitons in Atomic Bose-Einstein Condensates",Physical Review Letters,93,13,130408-130408,2004,"[Woodbury, NY, etc.] American Physical Society."
"Davidson, Nir; Lee, Heun Jin; Adams, Charles S; Kasevich, Mark; Chu, Steven; ",Long atomic coherence times in an optical dipole trap,Physical review letters,74,8,1311,1995,APS
"Downes, Lucy A; MacKellar, Andrew R; Whiting, Daniel J; Bourgenot, Cyril; Adams, Charles S; Weatherill, Kevin J; ",Full-field terahertz imaging at kilohertz frame rates using atomic vapor,Physical Review X,10,1,011027,2020,APS
"Adams, Charles S; Pritchard, Jonathan D; Shaffer, James P; ",Rydberg atom quantum technologies,"Journal of Physics B: Atomic, Molecular and Optical Physics",53,1,012002,2019,IOP Publishing
"Adams, CS; ",Atom interferometry,"Advances in Atomic, Molecular, and Optical Physics",34,,,1994,
"Sargsyan, A; Bason, MG; Sarkisyan, D; Mohapatra, AK; Adams, CS; ",Electromagnetically induced transparency and two-photon absorption in the ladder system in thin columns of atomic vapors,Optics and Spectroscopy,109,4,529-537,2010,Springer
"Adams, CS; Pohl, T; Sadeghpour, HR; ",Special issue on strong Rydberg interactions in ultracold atomic and molecular gases,"Journal of Physics B: Atomic, Molecular and Optical Physics",43,17,170101,2010,IOP Publishing
"Winiecki, T; Adams, CS; ",A fast semi-implicit finite-difference method for the TDGL equations,Journal of Computational Physics,179,1,127-139,2002,Elsevier
"Liu, Zhenning; Adams, Charles S; ",The Duhem-Quine problem in experimental tests of Bertrand’s paradox and maximum ignorance,arXiv preprint arXiv:1806.00308,,,,2018,
"Dodds, A Ben; Kendon, Viv; Adams, Charles S; Chancellor, Nicholas; ",Practical designs for permutation-symmetric problem Hamiltonians on hypercubes,Physical Review A,100,3,032320,2019,APS
"Weller, Lee; Dalton, Toryn; Siddons, Paul; Adams, Charles S; Hughes, Ifan G; ",Measuring the Stokes parameters for light transmitted by a high-density rubidium vapour in large magnetic fields,"Journal of Physics B: Atomic, Molecular and Optical Physics",45,5,055001,2012,IOP Publishing
"Sargsyan, A; Sarkisyan, D; Bason, MG; Mohapatra, AK; Adams, CS; Pashayan-Leroy, Y; ",Ladder and Lambda systems electromagnetically induced transparency in thin and extremely-thin cells,,,,,2008,
"Busche, Hannes; Huillery, Paul; Ball, Simon W; Ilieva, Teodora; Jones, Matthew; Adams, Charles S; ",Contactless nonlinear optics mediated by long-range Rydberg interactions,Nature Physics,13,7,655-658,2017,Nature Publishing Group
"Ding, Dong-Sheng; Liu, Zong-Kai; Busche, Hannes; Shi, Bao-Sen; Guo, Guang-Can; Adams, Charles S; Nori, Franco; ",Epidemic spreading and herd immunity in a driven non-equilibrium system of strongly-interacting atoms,arXiv preprint arXiv:2106.12290,,,,2021,
"Parker, Nick G; Adams, Charles S; ",Emergence and decay of turbulence in stirred atomic Bose-Einstein condensates,Physical Review Letters,95,14,145301,2005,APS
"Cox, Simon G; Griffin, Paul F; Adams, Charles S; DeMille, D; Riis, Erling; ",Reusable ultrahigh vacuum viewport bakeable to 240 C,Review of Scientific Instruments,74,6,3185-3187,2003,American Institute of Physics
"Šibalić, Nikola; Wade, Christopher G; Adams, Charles S; Weatherill, Kevin J; Pohl, Thomas; ",Driven-dissipative many-body systems with mixed power-law interactions: Bistabilities and temperature-driven nonequilibrium phase transitions,Physical Review A,94,1,011401,2016,APS
"Adams, Charles S; Pfau, Tilman; Kurtsiefer, Ch; Mlynek, Jürgen; ",Interaction of atoms with a magneto-optical potential,Physical Review A,48,3,2108,1993,APS
"Proukakis, NP; Parker, NG; Frantzeskakis, DJ; Adams, CS; ",Analogies between dark solitons in atomic Bose–Einstein condensates and optical systems,Journal of Optics B: Quantum and Semiclassical Optics,6,5,S380,2004,IOP Publishing
"Weatherill, KJ; Hayward, TJ; West, A; Schrefl, T; Fry, PW; Adams, CS; Allwood, DA; Hughes, IG; ",Interactions of ultracold atoms with magnetic fields from domain walls in nanowires,European Quantum Electronics Conference,,,EB_P3,2009,Optical Society of America
"Lynch, Stephen A; Hodges, Chris; Langbein, Wolfgang W; Gallagher, Liam; Rogers, Josh; Adams, Charles S; Jones, Matthew PA; Singh, Ravi P; ",Giant Rydberg Excitons in Synthetic and Artificial Cuprous Oxide,2018 20th International Conference on Transparent Optical Networks (ICTON),,,1-4,2018,IEEE
"Adams, Charles S; Riis, Erling; ",Laser cooling and manipulation of neutral particles,The New Optics,,,1-39,1997,
"Firstenberg, Ofer; Adams, Charles S; Hofferberth, Sebastian; ",Nonlinear quantum optics mediated by Rydberg interactions,"Journal of Physics B: Atomic, Molecular and Optical Physics",49,15,152003,2016,IOP Publishing
"Cassidy, Daniel T; Adams, Charles S; ",Polarization of the output of InGaAsP semiconductor diode lasers,IEEE journal of quantum electronics,25,6,1156-1160,1989,IEEE
"Siddons, Paul; Adams, Charles S; Hughes, Ifan G; ",Optical preparation and measurement of atomic coherence at gigahertz bandwidth,"Journal of Physics B: Atomic, Molecular and Optical Physics",45,12,124009,2012,IOP Publishing
"ADAMS, CHARLES; EDWARD, LLOYD; ",Single-Touch to Multi-Touch System Conversion,,,,,2012,Durham University
"Maxwell, D; Szwer, DJ; Paredes-Barato, D; Busche, H; Pritchard, Jonathan D; Gauguet, Alexandre; Weatherill, Kevin J; Jones, MPA; Adams, Charles S; ",Storage and control of optical photons using Rydberg polaritons,Physical review letters,110,10,103001,2013,APS
"Šibalić, Nikola; Kondo, Jorge M; Adams, Charles S; Weatherill, Kevin J; ",Dressed-state electromagnetically induced transparency for light storage in uniform-phase spin waves,Physical Review A,94,3,033840,2016,APS
"Jackson, B; McCann, JF; Adams, CS; ",Output coupling and flow of a dilute Bose-Einstein condensate,"Journal of Physics B: Atomic, Molecular and Optical Physics",31,20,4489,1998,IOP Publishing
"Siddons, Paul; Bell, Nia C; Cai, Yifei; Adams, Charles S; Hughes, Ifan G; ",Slow-light Faraday effect: an atomic probe with gigahertz bandwidth,arXiv preprint arXiv:0811.2316,,,,2008,
"Weller, Lee; Kleinbach, Kathrin S; Zentile, Mark A; Knappe, Svenja; Adams, Charles S; Hughes, Ifan G; ",Absolute absorption and dispersion of a rubidium vapour in the hyperfine Paschen–Back regime,"Journal of Physics B: Atomic, Molecular and Optical Physics",45,21,215005,2012,IOP Publishing
"Bason, MG; Mohapatra, AK; Weatherill, KJ; Adams, CS; ",Narrow absorptive resonances in a four-level atomic system,"Journal of Physics B: Atomic, Molecular and Optical Physics",42,7,075503,2009,IOP Publishing
"Winiecki, T; McCann, JF; Adams, CS; ",Vortex structures in dilute quantum fluids,EPL (Europhysics Letters),48,5,475,1999,IOP Publishing
"Skljarow, Artur; Kübler, Harald; Adams, Charles S; Pfau, Tilman; Löw, Robert; Alaeian, Hadiseh; ",Purcell-enhanced dipolar interactions in nanostructures,Physical Review Research,4,2,023073,2022,APS
"Abel, RP; Bason, MG; Gauguet, A; Pritchard, JD; Raitzsch, U; Adams, CS; ",Non-linear optics using Rydberg ensembles,"Nonlinear Optics: Materials, Fundamentals and Applications",,,NWB5,2009,Optica Publishing Group
"Adams, CS; Ferguson, AI; ",Frequency doubling of a single frequency Ti: Al2O3 laser using an external enhancement cavity,Optics communications,79,3-4,219-223,1990,Elsevier
"Jackson, Niamh; Hanley, Ryan; Hill, Matthew; Leroux, Frédéric; Adams, Charles; Jones, Matthew; ",Number-resolved imaging of $^{88} $ Sr atoms in a long working distance optical tweezer,SciPost Physics,8,3,038,2020,
"Bettles, Robert J; Minář, Jiří; Adams, Charles S; Lesanovsky, Igor; Olmos, Beatriz; ",Topological properties of a dense atomic lattice gas,Physical Review A,96,4,041603,2017,APS
"Händel, S; Marchant, AL; Wiles, TP; Hopkins, SA; Adams, CS; Cornish, SL; ","Bright matter-wave solitons: Formation, dynamics and quantum reflection",transport,13,,14,,
"Peyrot, T; Šibalić, N; Sortais, Yvan RP; Browaeys, A; Sargsyan, A; Sarkisyan, D; Hughes, IG; Adams, CS; ",Measurement of the atom-surface van der Waals interaction by transmission spectroscopy in a wedged nanocell,Physical Review A,100,2,022503,2019,APS
"Sakellari, E; Leadbeater, M; Kylstra, NJ; Adams, CS; ",Josephson spectroscopy of a dilute Bose-Einstein condensate in a double-well potential,Physical Review A,66,3,033612,2002,APS
"Parker, NG; Proukakis, NP; Leadbeater, M; Adams, CS; ",Deformation of dark solitons in inhomogeneous Bose–Einstein condensates,"Journal of Physics B: Atomic, Molecular and Optical Physics",36,13,2891,2003,IOP Publishing
"Keaveney, James; Adams, Charles S; Hughes, Ifan G; ",ElecSus: Extension to arbitrary geometry magneto-optics,Computer Physics Communications,224,,311-324,2018,Elsevier
"Adams, Charles; Bauer, Martin; Burrage, Clare; Calmet, Xavier; Carty, David; Hughes, Ifan; Jones, Matthew; Keller, Matthias; Krauss, Frank; Spannowsky, Michael; ",Searches for a Fifth Force and Dark Matter using Precision Atomic Spectroscopy,,,,,,
"Pritchard, Jonathan D; Maxwell, D; Gauguet, Alexandre; Weatherill, Kevin J; Jones, MPA; Adams, Charles S; ",Cooperative atom-light interaction in a blockaded Rydberg ensemble,Physical review letters,105,19,193603,2010,APS
"Parker, NG; Cornish, SL; Adams, CS; Martin, AM; ",Bright solitary waves and trapped solutions in Bose–Einstein condensates with attractive interactions,"Journal of Physics B: Atomic, Molecular and Optical Physics",40,15,3127,2007,IOP Publishing
"Kondo, Jorge M; Šibalić, Nikola; Guttridge, Alexander; Wade, Christopher G; De Melo, Natalia R; Adams, Charles S; Weatherill, Kevin J; ",Observation of interference effects via four-photon excitation of highly excited Rydberg states in thermal cesium vapor,Optics Letters,40,23,5570-5573,2015,Optica Publishing Group
"Jackson, B; McCann, JF; Adams, CS; ",Vortex line and ring dynamics in trapped Bose-Einstein condensates,Physical Review A,61,1,013604,1999,APS
"Keaveney, James; Sargsyan, Armen; Sarkisyan, David; Papoyan, Aram; Adams, Charles S; ","Active narrowband filtering, line narrowing and gain using ladder electromagnetically induced transparency in an optically thick atomic vapour","Journal of Physics B: Atomic, Molecular and Optical Physics",47,7,075002,2014,IOP Publishing
"Sakellari, E; Proukakis, NP; Leadbeater, M; Adams, CS; ",Josephson Current Counterflow in Atomic Bose-Einstein Condensates,arXiv preprint cond-mat/0308104,,,,2003,
"Mohapatra, AK; Jackson, TR; Adams, CS; ","Atomic, Molecular, and Optical Physics-Coherent Optical Detection of Highly Excited Rydberg States Using Electromagnetically Induced Transparency",Physical Review Letters,98,11,113003-113003,2007,"[Woodbury, NY, etc.] American Physical Society."
"Pritchard, JD; Adams, CS; Mølmer, K; ",Correlated photon emission from multiatom Rydberg dark states,Physical review letters,108,4,043601,2012,APS
"Winiecki, T; Adams, CS; ",Superfluidity and superconductivity-Time-dependent Ginzburg-Landau simulations of the voltage-current characteristic of type-II superconductors with pinning,Physical Review-Section B-Condensed Matter,65,10,104517-104517,2002,"Woodbury, NY: published by the American Physical Society through the …"
"Adams, CS; Pfau, T; Kurtsiefer, Ch; Mlynck, J; ",Experimental demonstration of a magneto-optical beam splitter for atoms,Quantum Electronics and Laser Science Conference,,,QMF2,1993,Optica Publishing Group
"Adams, Charles S; Lee, Heun Jin; Davidson, Nir; Kasevich, Mark; Chu, Steven; ",Evaporative cooling in a crossed dipole trap,Physical review letters,74,18,3577,1995,APS
"Jundt, G; Purves, GT; Adams, CS; Hughes, IG; ",Non-linear Sagnac interferometry for pump-probe dispersion spectroscopy,"The European Physical Journal D-Atomic, Molecular, Optical and Plasma Physics",27,3,273-276,2003,Springer
"Pritchard, JD; Maxwell, D; Gauguet, A; Weatherill, KJ; Jones, MPA; Adams, CS; ",Publisher's copyright statement: cO 2010 American Physical Society Additional information,,,,,2012,
"Parker, NG; Martin, AM; Cornish, SL; Adams, CS; ",Collisions of bright solitary matter waves,"Journal of Physics B: Atomic, Molecular and Optical Physics",41,4,045303,2008,IOP Publishing
"Zentile, Mark A; Whiting, Daniel J; Keaveney, James; Adams, Charles S; Hughes, Ifan G; ",Atomic Faraday filter with equivalent noise bandwidth less than 1 GHz,Optics Letters,40,9,2000-2003,2015,Optica Publishing Group
"Adams, CS; ",The cooperative Lamb shift and intrinsic optical bistability in dense atomic ensembles.,,,,,,
"Carr, Christopher; Ritter, Ralf; Wade, Christopher; Adams, Charles S; Weatherill, Kevin J; ",Cooperative non-equilibrium phase transition in a dilute Rydberg ensemble,arXiv preprint arXiv:1302.6621,,,,2013,
"Siddons, Paul; Adams, Charles S; Hughes, Ifan G; ",The Far Off-resonant Faraday Effect in a Slow-light Medium: a Gigahertz Bandwidth Probe,Slow and Fast Light,,,STuB3,2009,Optica Publishing Group
